orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,codigo_unidade_orcamentaria,codigo_item,nome_item,codigo_natureza_despesa_detalhada,nome_natureza_despesa_detalhada,valor
244,MINISTÉRIO DA EDUCAÇÃO,MEC,477,FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,202110,26278,11,Contratação Temporária,33900422,AUXILIO-CRECHE,5906.4
244,MINISTÉRIO DA EDUCAÇÃO,MEC,473,FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,202110,26277,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2744.55
244,MINISTÉRIO DA EDUCAÇÃO,MEC,471,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,202110,26276,11,Contratação Temporária,33900422,AUXILIO-CRECHE,321.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,466,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE,UFAC,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE,UFAC,202110,26275,11,Contratação Temporária,33900422,AUXILIO-CRECHE,304.95
244,MINISTÉRIO DA EDUCAÇÃO,MEC,472,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,202110,26274,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2889.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,467,FUNDAÇÃO UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,202110,26272,11,Contratação Temporária,33900422,AUXILIO-CRECHE,4237.2
244,MINISTÉRIO DA EDUCAÇÃO,MEC,476,FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,202110,26273,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1765.5
244,MINISTÉRIO DA EDUCAÇÃO,MEC,470,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA,UNB,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA,UNB,202110,26271,11,Contratação Temporária,33900422,AUXILIO-CRECHE,5761.95
244,MINISTÉRIO DA EDUCAÇÃO,MEC,465,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,UFAM,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,UFAM,202110,26270,11,Contratação Temporária,33900422,AUXILIO-CRECHE,4574.25
244,MINISTÉRIO DA EDUCAÇÃO,MEC,260,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,202110,26269,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1524.75
