orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
235876,MINISTÉRIO DA ECONOMIA,ME,89,BANCO CENTRAL DO BRASIL,BACEN,BANCO CENTRAL DO BRASIL,BACEN,202110,0,0,0,0,1
244,MINISTÉRIO DA EDUCAÇÃO,MEC,244,MINISTÉRIO DA EDUCAÇÃO,MEC,MINISTÉRIO DA EDUCAÇÃO,MEC,202110,136,46,182,715,46
244,MINISTÉRIO DA EDUCAÇÃO,MEC,421,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,202110,7,52,59,5570,83
244,MINISTÉRIO DA EDUCAÇÃO,MEC,433,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,202110,2,10,12,2389,46
244,MINISTÉRIO DA EDUCAÇÃO,MEC,477,FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,202110,5,26,31,2607,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,469,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,UFS,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,UFS,202110,7,75,82,2961,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,827,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,202110,17,39,56,3322,6
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100900,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,202110,5,4,9,1850,5
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100910,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS",IFAM,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS",IFAM,202110,12,2,14,1777,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100920,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IF BAIANO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IF BAIANO,202110,5,4,9,1711,8
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100911,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,202110,3,7,10,3559,23
244,MINISTÉRIO DA EDUCAÇÃO,MEC,94430,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA",IFB,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA",IFB,202110,22,8,30,1291,14
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100930,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,202110,5,3,8,1886,2
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100931,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IFFLU,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IFFLU,202110,1,2,3,1657,7
